Date,Advertising_Spend_Lakh,Average_Vehicle_Price_Lakh,Fuel_Price,Economic_Index,Sales_Units
2019-01-01,185.2,18.15,80.2,97.1,1045
2019-02-01,191.4,18.32,81.1,97.8,1082
2019-03-01,205.7,18.45,82.4,98.3,1126
2019-04-01,214.3,18.61,80.7,99.0,1154
2019-05-01,221.8,18.73,78.9,99.6,1180
2019-06-01,218.5,18.82,77.5,100.1,1168
2019-07-01,207.2,18.94,76.8,100.5,1134
2019-08-01,202.6,19.05,77.4,100.8,1117
2019-09-01,211.9,19.17,79.1,101.2,1152
2019-10-01,231.4,19.28,81.3,101.9,1287
2019-11-01,246.8,19.42,82.7,102.4,1371
2019-12-01,252.1,19.55,81.8,102.8,1415
